Id	Description	Qty	Unit	Designators
1	Connector, Arduino Due, Programming micro-USB port, 4 pins	1		DUE1
2	Connector, DROK 5.10 V converter, 4 pins	1		PS1
3	Connector, Owned 2x20 extra-tall female 0.1-inch stacking header, 23 mm Pi GPIO extension; four used contacts shown, 4 pins	1		H1
4	Connector, Owned ALITOVE 3-wire splice connector, Battery-negative distribution, 3 pins	1		TB1_NEG
5	Connector, Owned ALITOVE 3-wire splice connector, Fused-positive distribution, 3 pins	1		TB1_POS
6	Connector, Owned waterproof medium inline fuse holder, 14 AWG / standard ATO-ATC / 10 A fuse, 2 pins	1		F1
7	Connector, Pololu Dual VNH5019 motor driver, #2507 power terminal, 2 pins	1		DRV1
8	Connector, Raspberry Pi 5, Power header below H1 and direct USB-A host port, 8 pins	1		PI1
9	Owned standard blade fuse from 80-piece kit, 10 A ATO/ATC	1		F1
